Year,Month,Day,AggBeltWetTNS,AggBeltDryTNS,FormulaID,PCT Diff
2021,May,24,14.96593,14.37808,2253-2D,4.09%
2021,May,24,571.91103,551.16762,2255-12E,3.76%
2021,May,25,2219.0779,2138.58887,2255-12E,3.76%
2021,May,27,509.41941,493.75745,2255-1B,3.17%
2021,May,24,390.87527,380.40975,2255-1D,2.75%
2021,June,1,146.46221,142.22099,2255-2B,2.98%
2021,May,24,1169.18676,1125.16341,2255-2D,3.91%
2021,May,27,1695.86385,1631.88269,2255-2D,3.92%
2021,June,16,579.5318,557.60808,2255-2D,3.93%
2021,June,17,1109.41349,1067.57249,2255-2D,3.92%
2021,May,26,691.65784,661.88803,2258-12E,4.50%
2021,June,21,52.72435,50.44836,2258-12E,4.51%
2021,May,26,187.971,180.50213,2258-1B,4.14%
2021,June,1,848.98116,817.07459,2258-1C,3.90%
2021,June,10,401.87416,386.72287,2258-1C,3.92%
2021,June,15,24.27958,23.32253,2258-1C,4.10%
2021,June,11,40.59886,39.17056,2258-1D,3.65%
2021,June,18,21.53488,20.75736,2258-1D,3.75%
2021,June,23,38.42751,37.06698,2258-1D,3.67%
2021,June,24,33.86498,32.62,2258-1D,3.82%
2021,June,28,19.64966,18.93638,2258-1D,3.77%
2021,July,6,24.07396,23.21719,2258-1D,3.69%
2021,June,25,14.0597,13.54334,2258-1E,3.81%
2021,June,1,39.45933,37.93511,2258-2B,4.02%
2021,June,21,411.21839,394.123,2258-2C,4.34%
2021,July,2,417.0987,399.64511,2258-2C,4.37%
2021,June,17,278.78998,266.98785,2258-2D,4.42%
2021,June,21,306.49193,293.43999,2258-2D,4.45%
2021,June,22,487.56991,466.8879,2258-2D,4.43%
2021,July,1,861.36065,824.87874,2258-2D,4.42%
2021,July,7,1523.89345,1459.26548,2258-2D,4.43%
2021,June,18,659.74628,634.30741,2258-2E,4.01%
2021,June,21,53.90494,51.81687,2258-2E,4.03%
2021,June,24,241.44242,232.11292,2258-2E,4.02%
2021,June,25,365.77975,351.69761,2258-2E,4.00%
2021,May,24,464.31819,442.36346,2452-12E,4.96%
2021,May,25,1055.88413,1005.98959,2452-12E,4.96%
2021,May,26,1238.6644,1179.32562,2452-12E,5.03%
2021,May,27,84.24494,80.16213,2452-12E,5.09%
2021,May,27,469.51194,447.74202,2452-1B,4.86%
2021,May,28,1090.9257,1040.3599,2452-1B,4.86%
2021,June,4,771.1835,733.38894,2452-1C,5.15%
2021,June,9,471.77848,448.64819,2452-1C,5.16%
2021,June,14,828.76486,792.65318,2452-1D,4.56%
2021,June,19,568.83628,541.85537,2452-2A,4.98%
2021,June,19,147.09973,139.90985,2452-2C,5.14%
2021,June,3,1253.8222,1190.74976,2452-2D,5.30%
2021,June,15,627.03827,595.46064,2452-2D,5.30%
2021,June,16,825.15123,783.2485,2452-2D,5.35%
2021,June,17,137.15439,130.26495,2452-2D,5.29%
2021,July,6,3834.53821,3651.99618,2452-2D,5.00%
2021,June,18,206.28247,196.49208,2452-2E,4.98%
2021,June,19,110.3031,105.0723,2452-2E,4.98%
2021,June,30,329.4087,314.014,2452-S2A,4.90%
2021,July,1,151.6544,144.5559,2452-S2A,4.91%
2021,May,24,348.25252,330.68344,2507 (20)-1,5.31%
2021,May,25,819.57004,777.91341,2507 (20)-1,5.35%
2021,May,26,698.55094,663.03119,2507 (20)-1,5.36%
2021,May,27,990.92531,940.52178,2507 (20)-1,5.36%
2021,May,28,1152.97529,1094.51775,2507 (20)-1,5.34%
2021,June,1,553.34317,525.2789,2507 (20)-1,5.34%
2021,June,2,4020.07444,3815.63465,2507 (20)-1,5.36%
